parameter,spearman_energy_savings,spearman_pass_probability,spearman_net_head,importance_score
it_load_mw,0.8512417164034489,0.40416580277817116,-0.14863586210296645,0.4680144604281955
hx_pressure_drop_kpa,-0.3443440328586941,0.0,-0.831934503714525,0.3920928455244064
number_of_pipes,0.11251340262682386,-0.4913962702758517,0.1882123997097774,0.26404069087081766
pipe_diameter_m,0.12513137494801463,-0.42728431186803695,0.20859658852247465,0.2536707584461754
delta_t_c,0.23448780836253227,-0.14575114589598887,0.298980657855952,0.22640653737149105
vertical_lift_height_m,0.0589807382677987,0.0,0.15142828880829448,0.07013634235869773
intake_depth_m,-0.024077282100608114,0.0,-0.03714680478351462,0.020408028961374242
pipe_length_m,-0.024077282100608114,0.0,-0.03714680478351462,0.020408028961374242
deep_temp_c,,,,
surface_temp_c,,,,
pipe_roughness_mm,,,,
turbine_efficiency,,,,
pump_efficiency,,,,
