parameter,spearman_energy_savings,spearman_pass_probability,spearman_net_head,importance_score
it_load_mw,0.7993938941333216,0.15506295752674965,-0.12430407951466642,0.3595869770582459
delta_t_c,0.31968887618596853,-0.0711358341482437,0.37927102715693817,0.2566985791637168
pipe_diameter_m,0.12996607411365818,-0.3468444676787887,0.2273586134418045,0.23472305174475047
hx_pressure_drop_kpa,-0.08584565882099901,-0.016940941131311137,-0.5869455349536753,0.2299107116353285
number_of_pipes,0.10858980563787693,-0.25318850131962733,0.1367075435331837,0.16616195016356264
vertical_lift_height_m,0.053717537244585174,-0.00938804548123648,0.4252159581155262,0.16277384694711597
surface_temp_c,0.16194274256098656,0.010682762517366592,-0.007250739719229621,0.05995874826586093
pipe_length_m,0.04843051124529001,-0.07950946572040285,-0.037084801550945436,0.0550082595055461
turbine_efficiency,-0.05618204151819338,0.06834975265352496,9.25716043252769e-05,0.0415414552586812
deep_temp_c,0.03184397226061562,-0.061861913028410785,0.012908283227521657,0.03553805617218269
pipe_roughness_mm,0.028324042179870827,-0.03352345663481,0.010549995535368202,0.024132498116683013
intake_depth_m,-0.0018598883380019687,-0.023303665843757582,-0.03987583303028327,0.021679795737347605
pump_efficiency,-0.02092319571256746,0.03154075574391191,-0.001406785543171527,0.017956912333216963
