parameter,spearman_energy_savings,spearman_pass_probability,spearman_net_head,importance_score
it_load_mw,0.8640216712142491,0.16155248286678794,-0.12430407951466642,0.38329274453190115
pipe_diameter_m,0.10998060316286001,-0.34322556291256157,0.2273586134418045,0.22685492650574202
delta_t_c,0.2269030317710982,-0.06623791150257632,0.37927102715693817,0.22413732347687088
hx_pressure_drop_kpa,-0.03793000167008913,-0.016756475001068093,-0.5869455349536753,0.2138773372082775
number_of_pipes,0.09042383661824947,-0.2489457917801716,0.1367075435331837,0.15869239064386825
vertical_lift_height_m,0.037593591241938305,-0.009275683814837406,0.4252159581155262,0.1573617443907673
surface_temp_c,0.19123177531627636,0.010504424251724745,-0.007250739719229621,0.06966231309574357
pipe_length_m,0.03624752597820211,-0.07874708689542849,-0.037084801550945436,0.050693138141525346
turbine_efficiency,-0.044146434662608,0.06771915633353834,9.25716043252769e-05,0.03731938753349054
deep_temp_c,0.014601802632861774,-0.06134309982599167,0.012908283227521657,0.029617728562125033
intake_depth_m,-0.00356134281269768,-0.023071044455969972,-0.03987583303028327,0.022169406766316974
pipe_roughness_mm,0.022599491291346353,-0.03319407403361654,0.010549995535368202,0.02211452028677703
pump_efficiency,-0.02064155710894707,0.03127164719773133,-0.001406785543171527,0.017773329949949977
