parameter,spearman_energy_savings,spearman_pass_probability,spearman_net_head,importance_score
it_load_mw,0.8948046859020057,0.26029340146843866,-0.17602394339796246,0.44370734358946895
number_of_pipes,0.060351994892063436,-0.682196625403293,0.44006083453491746,0.3942031516100913
delta_t_c,0.20006176665851438,-0.09183990059943925,0.5102460477405016,0.26738257166615176
hx_pressure_drop_kpa,-0.004710493278557525,0.092588479176076,-0.4075262857347179,0.16827508606311714
turbine_efficiency,0.10764573592413014,0.10592122017743097,-0.2509899961108756,0.15485231740414557
vertical_lift_height_m,0.10074066995119496,0.027262140118768458,0.2904585832540766,0.13948713110801333
surface_temp_c,0.32016878716116914,0.016986899646170745,0.002599954905113504,0.1132518805708178
pipe_diameter_m,-0.06880522605083597,-0.061676272261823435,0.19773701617956085,0.10940617149740677
pump_efficiency,0.08149912194107106,0.06058990077282415,-0.06421012529218574,0.06876638266869366
deep_temp_c,-0.02109633548732098,-0.05575060959455457,0.09534017115322983,0.057395705411701796
pipe_length_m,-0.067719440464877,-0.07549538682210809,0.022179847657938862,0.055131558314974655
intake_depth_m,-0.04169544513084165,-0.023921260523862356,-0.0655137165635619,0.043710140739421977
pipe_roughness_mm,0.0015665702416857163,-0.0545654770611008,0.04914211292219278,0.035091386741659764
