parameter,spearman_energy_savings,spearman_pass_probability,spearman_net_head,importance_score
it_load_mw,0.9403147402501052,0.40416580277817116,-0.14687181015754275,0.4971174510619398
hx_pressure_drop_kpa,-0.21269370184347247,0.0,-0.8193498396557829,0.3440145138330852
number_of_pipes,0.07624973996920048,-0.4913962702758517,0.18594883494429362,0.2511982817297819
pipe_diameter_m,0.08526603848614354,-0.42728431186803695,0.20610267038314675,0.23955100691244244
delta_t_c,0.14890772044276732,-0.14575114589598887,0.3221605100855934,0.20560645880811648
vertical_lift_height_m,0.052960658557000696,0.0,0.17732774479167646,0.07676280111622572
intake_depth_m,-0.016761348775985327,0.0,-0.03672943126847663,0.017830260014820652
pipe_length_m,-0.016761348775985327,0.0,-0.03672943126847663,0.017830260014820652
deep_temp_c,,,,
surface_temp_c,,,,
pipe_roughness_mm,,,,
turbine_efficiency,,,,
pump_efficiency,,,,
