deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,required_mass_flow_kg_s,required_volumetric_flow_m3_s,actual_mass_flow_kg_s,actual_volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_assist_power_mw,pump_energy_mw,aux_energy_mw,hydra_total_power_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,positive_retrofit_benefit,required_velocity_ms,velocity_margin_ms,natural_velocity_ms,natural_velocity_margin_ms,required_flow_capacity_ratio,actual_cooling_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,pump_fraction_of_baseline,pump_fraction_of_hydra_total,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
4.5,24.0,60.0,1.2,90.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4536.9072464683095,4.439647875068127,1.9627552914014494,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,1598.2199564392367,10000.0,11598.219956439236,1.6933082652965439,0.0640595468041913,0.0,0.0,1.6,1.5359404531958087,1.5359404531958087,8.54,0.0427,0.8201474879161816,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.9627552914014494,1.4627552914014494,5.537889735264809,3.623174127029592,3.623174127029592,2.463608993484365,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,250.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4368.333386638067,4.274687795893056,1.8142338477092768,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,1737.0334509594582,10000.0,11737.033450959458,1.6794614051633203,0.0611749660424018,0.0,0.0,1.6,1.5388250339575982,1.5388250339575982,8.54,0.0427,0.8198097149932554,1.0,1.0,True,0.520053691510036,0.020053691510035998,1.8142338477092768,1.3142338477092768,5.768635140900843,3.4885510425691604,3.4885510425691604,2.4344719739005063,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4300.245337385964,4.20805937552697,1.860370695664754,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,1780.6099669085472,10000.0,11780.609966908547,1.6751145805010228,0.06006558145548908,0.0,0.0,1.6,1.5399344185445107,1.5399344185445107,8.54,0.0427,0.8196798104748817,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.860370695664754,1.360370695664754,5.537889735264809,3.434175926436431,3.434175926436431,2.425466853868837,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.2,90.0,240.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4436.093796832052,4.340995600921613,1.9191414106301314,1027.7323791967958,1016.0816232363092,27430.5398333698,2.736238647145015,1564.4440285745495,10000.0,11564.44402857455,1.5826675225535611,0.05854345427855449,0.0,0.0,1.6,1.5414565457214455,1.5414565457214455,8.54,0.0427,0.8195015754424537,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.9191414106301314,1.4191414106301314,5.537889735264809,3.5426645061500777,3.5426645061500777,2.3719722077076737,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.0,144.0,250.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4125.224534171063,4.0367905584951425,1.7132671242965194,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,1947.0715925834834,10000.0,11947.071592583483,1.6585097766508177,0.05704972575366185,0.0,0.0,1.6,1.5429502742463381,1.5429502742463381,8.54,0.0427,0.8193266657791174,1.0,1.0,True,0.520053691510036,0.020053691510035998,1.7132671242965194,1.2132671242965194,5.768635140900843,3.294404312989011,3.294404312989011,2.391672199472833,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,240.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4273.950213261336,4.182327949777538,1.7750351115692997,1027.7323791967958,1016.0816232363092,27430.5398333698,2.736238647145015,1698.1374988068605,10000.0,11698.13749880686,1.5693313927382975,0.05592835610083977,0.0,0.0,1.6,1.5440716438991602,1.5440716438991602,8.54,0.0427,0.8191953578572412,1.0,1.0,True,0.520053691510036,0.020053691510035998,1.7750351115692997,1.2750351115692997,5.768635140900843,3.413176640310503,3.413176640310503,2.344863858555907,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,240.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4200.124962384495,4.1100853183160115,1.8170566526094982,1027.7323791967958,1016.0816232363092,27430.5398333698,2.736238647145015,1746.83403904386,10000.0,11746.83403904386,1.56447383775804,0.05479216358373978,0.0,0.0,1.6,1.5452078364162602,1.5452078364162602,8.54,0.0427,0.8190623142369718,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.8170566526094982,1.3170566526094982,5.537889735264809,3.354219794960258,3.354219794960258,2.3351432174998634,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.2,90.0,230.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4328.804965947203,4.236006760687497,1.8727261525947292,1027.7323791967958,1016.0816232363092,26287.60067364606,2.6222287035139726,1530.6681007098625,10000.0,11530.668100709863,1.472026779810578,0.05313389622407216,0.0,0.0,1.6,1.5468661037759277,1.5468661037759277,8.54,0.0427,0.818868137731156,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.8727261525947292,1.3727261525947292,5.537889735264809,3.4569836458054364,3.4569836458054364,2.2797985722984877,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.5,90.0,250.0,1,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,3871.5780577421833,3.788581596107253,2.1438986251642733,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,2129.358744487834,10000.0,12129.358744487834,1.6403263521557625,0.05295490763733586,0.0,0.0,1.6,1.5470450923626642,1.5470450923626642,8.54,0.0427,0.81884717888025,1.0,1.0,True,0.6934049220133813,0.19340492201338133,2.1438986251642733,1.6438986251642733,4.326476355675632,3.0918422369129073,3.0918422369129073,2.35572874007694,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.3,90.0,250.0,2,200.0,36.0,10.0,0.03,0.85,0.84,1391.3237053732921,1.360374502970755,4828.847598147486,4.721432637050438,1.778554657188118,1027.7323791967958,1017.7686241444916,24436.109265776144,2.4355292507871256,1346.4439745451273,10000.0,11346.443974545127,1.3046374262393663,0.05253167697697178,0.0,0.0,1.6,1.5474683230230282,1.5474683230230282,8.54,0.0427,0.8187976202549146,1.0,1.0,True,0.5124504771691738,0.012450477169173801,1.778554657188118,1.278554657188118,5.854224229768097,3.470685922692524,3.470685922692524,2.153635916292071,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
